method,auroc,auprc,brier,acc,wall_s,cpu_s,energy_j,energy_source
centralized,0.9265575266568399,0.7330337102931673,0.06663762971921156,0.9118589743589743,0.06243783328682184,0.06243871999999984,1.809385,rapl
intersection_fl,0.7709916322015966,0.3298100840382166,0.11348030637357903,0.8498931623931624,0.3119228812865913,0.31191133000000004,10.309984,rapl
naive_union_fl,0.9042299768940505,0.6746720242826408,0.07687032709633707,0.8974358974358975,0.2851581103168428,0.28516274899999994,7.15356,rapl
tieraware_fl,0.9103498102091166,0.6918212814643021,0.07391884227362171,0.9043803418803419,0.28074198169633746,0.28071969799999996,6.638314,rapl
